ID,Tal_Name,district_n,district n,taluka_nam,taluka_cod,taluka_c_1
"1",soegaon,aurangabad,aurangabad,soegaon,"4134","4319"
"1",ballarpur,chandrapur,chandrapur,ballarpur,"4074","4352"
"2",bhadravati,chandrapur,chandrapur,bhadrawati,"4070","4353"
"3",brahmapuri,chandrapur,chandrapur,brahmapuri,"4067","4354"
"4",chandrapur,chandrapur,chandrapur,chandrapur,"4071","4355"
"5",chimur,chandrapur,chandrapur,chimur,"4065","4356"
"6",gondpipri,chandrapur,chandrapur,gondpipri,"4078","4357"
"7",korpana,chandrapur,chandrapur,korpana,"4075","4359"
"8",mul,chandrapur,chandrapur,mul,"4072","4360"
"9",nagbhir,chandrapur,chandrapur,nagbhid,"4066","4361"
"10",pombhurna,chandrapur,chandrapur,pombhurna,"4073","4362"
"11",rajura,chandrapur,chandrapur,rajura,"4077","4363"
"12",sawali,chandrapur,chandrapur,saoli,"4068","4364"
"13",warora,chandrapur,chandrapur,warora,"4064","4366"
"14",jiwati,chandrapur,chandrapur,jiwati,"4076","4358"
"15",sindewahi,chandrapur,chandrapur,sindewahi,"4069","4365"
"16",sadak-arjuni,gondia,gondia,sadak arjuni,"4049","4388"
"17",kadegaon,sangli,sangli,kadegaon,"4298","4551"
"18",arni,yavatmal,yavatmal,arni,"4088","4618"
"19",babulgaon,yavatmal,yavatmal,babhulgaon,"4080","4619"
"21",darwha,yavatmal,yavatmal,darwha,"4083","4620"
"22",darwha,yavatmal,yavatmal,darwha,"4083","4620"
"23",digras,yavatmal,yavatmal,digras,"4084","4621"
"24",ghatanji,yavatmal,yavatmal,ghatanji,"4089","4622"
"25",kalamb,yavatmal,yavatmal,kalamb,"4081","4623"
"26",kelapur,yavatmal,yavatmal,kelapur,"4090","4624"
"27",mahagaon,yavatmal,yavatmal,mahagaon,"4087","4625"
"28",maregaon,yavatmal,yavatmal,maregaon,"4092","4626"
"29",ner,yavatmal,yavatmal,ner,"4079","4627"
"30",pusad,yavatmal,yavatmal,pusad,"4085","4628"
"31",ralegaon,yavatmal,yavatmal,ralegaon,"4091","4629"
"32",umarkhed,yavatmal,yavatmal,umarkhed,"4086","4630"
"33",wani,yavatmal,yavatmal,wani,"4094","4631"
"34",wani,yavatmal,yavatmal,wani,"4094","4631"
"35",yavatmal,yavatmal,yavatmal,yavatmal,"4082","4632"
"37",zari-jamani,yavatmal,yavatmal,zari jamni,"4093","4633"
"39",karanja,washim,washim,karanja,"3997","4612"
"41",malegaon,washim,washim,malegaon,"3995","4613"
"42",mangrulpir,washim,washim,mangrulpir,"3996","4614"
"44",manora,washim,washim,manora,"3998","4615"
"45",risod,washim,washim,risod,"4000","4616"
"46",washim,washim,washim,washim,"3999","4617"
"47",arvi,wardha,wardha,arvi,"4017","4604"
"48",ashti,wardha,wardha,ashti,"4015","4605"
"49",deoli,wardha,wardha,deoli,"4020","4606"
"50",hinganghat,wardha,wardha,hinganghat,"4021","4607"
"51",karanja,Wardha,Wardha,karanja,"4016","4608"
"52",samudrapur,wardha,wardha,samudrapur,"4022","4609"
"53",seloo,wardha,wardha,seloo,"4018","4610"
"54",wardha,wardha,wardha,wardha,"4019","4611"
"55",wardha,wardha,wardha,wardha,"4019","4611"
"56",ambarnath,thane,thane,ambernath,"4170","4589"
"57",bhiwandi,thane,thane,bhiwandi,"4166","4590"
"58",kalyan,thane,thane,kalyan,"4168","4593"
"59",murbad,thane,thane,murbad,"4171","4595"
"60",shahapur,thane,thane,shahapur,"4167","4597"
"61",thane,thane,thane,thane,"4165",
"63",karmala,solapur,solapur,karmala,"4244","4580"
"64",barshi,solapur,solapur,barshi,"4246","4579"
"65",akkalkot,solapur,solapur,akkalkot,"4254","4578"
"66",solapur south,solapur,solapur,south solapur,"4253","4588"
"67",solapur north,solapur,solapur,solapur north,"4247","4587"
"68",sangole,solapur,solapur,sangola,"4251","4586"
"69",pandharpur,solapur,solapur,pandharpur,"4249","4585"
"70",mohol,solapur,solapur,mohol,"4248","4584"
"71",mangalvedhe,solapur,solapur,mangalvedhe,"4252","4583"
"72",malshiras,solapur,solapur,malshiras,"4250","4582"
"73",madha,solapur,solapur,madha,"4245","4581"
"74",dodamarg,sindhudurg,sindhudurg,dodamarg,"4282","4571"
"75",devgad,sindhudurg,sindhudurg,deogad,"4275","4570"
"76",kankavli,sindhudurg,sindhudurg,kankavali,"4277","4572"
"77",kudal,sindhudurg,sindhudurg,kudal,"4280","4573"
"78",malwan,sindhudurg,sindhudurg,malvan,"4278","4574"
"79",sawantwadi,sindhudurg,sindhudurg,sawantwadi,"4281","4575"
"80",vaibhavvadi,sindhudurg,sindhudurg,vaibhavawadi,"4276","4576"
"81",vengurla,sindhudurg,sindhudurg,vengurla,"4279","4577"
"82",khatav,satara,satara,khatav,"4260","4562"
"83",satara,satara,satara,satara,"4262","4568"
"84",wai,satara,satara,wai,"4256","4569"
"85",jaoli,satara,satara,jawali,"4263","4559"
"86",karad,satara,satara,karad,"4265","4560"
"87",khandala,satara,satara,khandala,"4257","4561"
"88",koregaon,satara,satara,koregaon,"4261","4563"
"89",mahabaleshwar,satara,satara,mahabaleshwar,"4255","4564"
"90",man,satara,satara,man,"4259","4565"
"91",patan,satara,satara,patan,"4264","4566"
"92",phaltan,satara,satara,phaltan,"4258","4567"
"93",walwa,sangli,sangli,valva-islampur,"4296","4558"
"94",tasgaon,sangli,sangli,tasgaon,"4301","4557"
"95",shirala,sangli,sangli,shirala,"4295","4556"
"96",palus,sangli,sangli,palus,"4297","4555"
"97",miraj,sangli,sangli,miraj,"4302","4554"
"98",khanapur (vita),sangli,sangli,khanapur-vita,"4299","4553"
"99",kavathemahankal,sangli,sangli,kavathemahankal,"4303","4552"
"100",jat,sangli,sangli,jath,"4304","4550"
"101",atpadi,sangli,sangli,atpadi,"4300","4549"
"102",ahmadpur,latur,latur,ahemadpur,"4228","4431"
"103",ausa,latur,latur,ausa,"4232","4432"
"104",chakur,latur,latur,chakur,"4230","4433"
"105",deoni,latur,latur,deoni,"4234","4434"
"106",jalkot,latur,latur,jalkot,"4229","4435"
"107",latur,latur,latur,latur,"4226","4436"
"108",nilanga,latur,latur,nilanga,"4233","4437"
"109",renapur,latur,latur,renapur,"4227","4438"
"110",shirur-anantpal,latur,latur,shirur anantpal,"4231","4439"
"111",udgir,latur,latur,udgir,"4235","4440"
"112",udgir,latur,latur,udgir,"4235","4440"
"113",ajra,kolhapur,kolhapur,ajara,"4292","4419"
"114",bavda,kolhapur,kolhapur,gagan bavada,"4288","4420"
"115",bhudargad,kolhapur,kolhapur,bhudargad,"4291","4421"
"116",chandgad,kolhapur,kolhapur,chandgad,"4294","4422"
"117",gadhinglaj,kolhapur,kolhapur,gadhinglaj,"4293","4423"
"118",hatkanangle,kolhapur,kolhapur,hatkanangale,"4285","4424"
"119",kagal,kolhapur,kolhapur,kagal,"4290","4425"
"120",karvir,kolhapur,kolhapur,karveer,"4287","4426"
"121",panhala,kolhapur,kolhapur,panhala,"4284","4427"
"122",radhanagari,kolhapur,kolhapur,radhanagari,"4289","4428"
"123",shahuwadi,kolhapur,kolhapur,shahuwadi,"4283","4429"
"124",shirol,kolhapur,kolhapur,shirol,"4286","4430"
"125",ambad,jalna,jalna,ambad,"4129","4411"
"126",badnapur,jalna,jalna,badnapur,"4128","4412"
"127",bhokardan,jalna,jalna,bhokardan,"4125","4413"
"128",ghansawangi,jalna,jalna,ghansawangi,"4130","4414"
"129",jafferabad,jalna,jalna,jafrabad,"4126","4415"
"130",jalna,jalna,jalna,jalna,"4127","4416"
"131",mantha,jalna,jalna,mantha,"4132","4417"
"133",jalna,jalna,jalna,jalna,"4127","4416"
"134",partur,jalna,jalna,partur,"4131","4418"
"135",amalner,jalgaon,jalgaon,amalner,"3969","4396"
"136",bhadgaon,jalgaon,jalgaon,bhadgaon,"3971","4397"
"137",bhusawal,jalgaon,jalgaon,bhusawal,"3965","4398"
"138",bodvad,jalgaon,jalgaon,bodwad,"3964","4399"
"139",chalisgaon,jalgaon,jalgaon,chalisgaon,"3972","4400"
"140",chopda,jalgaon,jalgaon,chopda,"3960","4401"
"141",dharangaon,jalgaon,jalgaon,dharangaon,"3968","4402"
