statename,Districtname,block,pincode
Maharashtra,Ahmadnagar,Akola,
Maharashtra,Ahmadnagar,Jamkhed,
Maharashtra,Ahmadnagar,Karjat,
Maharashtra,Ahmadnagar,Kopargaon,
Maharashtra,Ahmadnagar,Nagar,
Maharashtra,Ahmadnagar,Nevasa,
Maharashtra,Ahmadnagar,Parner,
Maharashtra,Ahmadnagar,Pathardi,
Maharashtra,Ahmadnagar,Rahta,
Maharashtra,Ahmadnagar,Rahuri,
Maharashtra,Ahmadnagar,Sangamner,
Maharashtra,Ahmadnagar,Shevgaon,
Maharashtra,Ahmadnagar,Shrigonda,
Maharashtra,Ahmadnagar,Shrirampur,
Maharashtra,Akola,Akola,
Maharashtra,Akola,Akot,
Maharashtra,Akola,Balapur,
Maharashtra,Akola,Barshitakli,
Maharashtra,Akola,Murtijapur,
Maharashtra,Akola,Patur,
Maharashtra,Akola,Telhara,
Maharashtra,Amravati,Achalpur,
Maharashtra,Amravati,Amravati,
Maharashtra,Amravati,Anjangaon Surji,
Maharashtra,Amravati,Bhatkuli,
Maharashtra,Amravati,Chandur Railway,
Maharashtra,Amravati,Chandurbazar,
Maharashtra,Amravati,Chikhaldara,
Maharashtra,Amravati,Chikhaldara,
Maharashtra,Amravati,Daryapur,
Maharashtra,Amravati,Dhamangaon Railway,
Maharashtra,Amravati,Dharni,
Maharashtra,Amravati,Morshi,
Maharashtra,Amravati,Nandgaon-Khandeshwar,
Maharashtra,Amravati,Teosa,
Maharashtra,Amravati,Warud,
Maharashtra,Aurangabad,Aurangabad,
Maharashtra,Aurangabad,Gangapur,
Maharashtra,Aurangabad,Kannad,
Maharashtra,Aurangabad,Khuldabad,
Maharashtra,Aurangabad,Paithan,
Maharashtra,Aurangabad,Phulambri,
Maharashtra,Aurangabad,Sillod,
Maharashtra,Aurangabad,Soegaon,
Maharashtra,Aurangabad,Vaijapur,
Maharashtra,Beed,Ambejogai,
Maharashtra,Beed,Ashti,
Maharashtra,Beed,Bid,
Maharashtra,Beed,Dharur,
Maharashtra,Beed,Georai,
Maharashtra,Beed,Kaij,
Maharashtra,Beed,Manjlegaon,
Maharashtra,Beed,Parli,
Maharashtra,Beed,Patoda,
Maharashtra,Beed,Shirur (Kasar),
Maharashtra,Beed,Wadwani,
Maharashtra,Bhandara,Bhandara,
Maharashtra,Bhandara,Lakhandur,
Maharashtra,Bhandara,Lakhani,
Maharashtra,Bhandara,Mohadi,
Maharashtra,Bhandara,Pauni,
Maharashtra,Bhandara,Sakoli,
Maharashtra,Bhandara,Tumsar,
Maharashtra,Brihan Mumbai,A,
Maharashtra,Brihan Mumbai,B,
Maharashtra,Brihan Mumbai,C,
Maharashtra,Brihan Mumbai,D,
Maharashtra,Brihan Mumbai,E,
Maharashtra,Brihan Mumbai,F/N,
Maharashtra,Brihan Mumbai,F/S,
Maharashtra,Brihan Mumbai,G/N,
Maharashtra,Brihan Mumbai,G/S,
Maharashtra,Brihan Mumbai,H/E,
Maharashtra,Brihan Mumbai,H/W,
Maharashtra,Brihan Mumbai,K/E,
Maharashtra,Brihan Mumbai,K/W,
Maharashtra,Brihan Mumbai,L,
Maharashtra,Brihan Mumbai,M/E,
Maharashtra,Brihan Mumbai,M/W,
Maharashtra,Brihan Mumbai,N,
Maharashtra,Brihan Mumbai,P/N,
Maharashtra,Brihan Mumbai,P/S,
Maharashtra,Brihan Mumbai,R/C,
Maharashtra,Brihan Mumbai,R/N,
Maharashtra,Brihan Mumbai,R/S,
Maharashtra,Brihan Mumbai,S,
Maharashtra,Brihan Mumbai,T,
Maharashtra,Buldana,Buldana,
Maharashtra,Buldana,Chikhli,
Maharashtra,Buldana,Deulgaon Raja,
Maharashtra,Buldana,Jalgaon (Jamod),
Maharashtra,Buldana,Khamgaon,
Maharashtra,Buldana,Lonar,
Maharashtra,Buldana,Malkapur,
Maharashtra,Buldana,Mehkar,
Maharashtra,Buldana,Motala,
Maharashtra,Buldana,Nandura,
Maharashtra,Buldana,Sangrampur,
Maharashtra,Buldana,Shegaon,
Maharashtra,Buldana,Sindkhed Raja,
Maharashtra,Chandrapur,Ballarpur,
Maharashtra,Chandrapur,Bhadravati,
Maharashtra,Chandrapur,Brahmapuri,
Maharashtra,Chandrapur,Chandrapur,
Maharashtra,Chandrapur,Chimur,
Maharashtra,Chandrapur,Gondpipri,
Maharashtra,Chandrapur,Jiwati,
Maharashtra,Chandrapur,Korpana,
Maharashtra,Chandrapur,Mul,
Maharashtra,Chandrapur,Nagbhir,
Maharashtra,Chandrapur,Pombhurna,
Maharashtra,Chandrapur,Rajura,
Maharashtra,Chandrapur,Sawali,
Maharashtra,Chandrapur,Sindewahi,
Maharashtra,Chandrapur,Warora,
Maharashtra,Dhule,Dhule,
Maharashtra,Dhule,Sakri,
Maharashtra,Dhule,Shirpur,
Maharashtra,Dhule,Sindkhede,
Maharashtra,Gadchiroli,Aheri,
Maharashtra,Gadchiroli,Armori,
Maharashtra,Gadchiroli,Bhamragad,
Maharashtra,Gadchiroli,Chamorshi,
Maharashtra,Gadchiroli,Desaiganj (Vadasa),
Maharashtra,Gadchiroli,Dhanora,
Maharashtra,Gadchiroli,Etapalli,
Maharashtra,Gadchiroli,Gadchiroli,
Maharashtra,Gadchiroli,Korchi,
Maharashtra,Gadchiroli,Kurkheda,
Maharashtra,Gadchiroli,Mulchera,
Maharashtra,Gadchiroli,Sironcha,
Maharashtra,Gondia,Amgaon,
Maharashtra,Gondia,Arjuni Morgaon,
Maharashtra,Gondia,Deori,
Maharashtra,Gondia,Gondiya,
Maharashtra,Gondia,Goregaon,
Maharashtra,Gondia,Lamba Tala,
Maharashtra,Gondia,Sadak Arjuni,
Maharashtra,Gondia,Salekasa,
Maharashtra,Gondia,Tirora,
Maharashtra,Hingoli,Aundha (Nagnath),
Maharashtra,Hingoli,Basmath,
Maharashtra,Hingoli,Hingoli,
Maharashtra,Hingoli,Kalamnuri,
Maharashtra,Hingoli,Sengaon,
Maharashtra,Jalgaon,Amalner,
Maharashtra,Jalgaon,Bhadgaon,
Maharashtra,Jalgaon,Bhusawal,
Maharashtra,Jalgaon,Bodvad,
Maharashtra,Jalgaon,Chalisgaon,
Maharashtra,Jalgaon,Chopda,
Maharashtra,Jalgaon,Dharangaon,
Maharashtra,Jalgaon,Erandol,
Maharashtra,Jalgaon,Jalgaon,
Maharashtra,Jalgaon,Jamner,
Maharashtra,Jalgaon,Muktainagar,
Maharashtra,Jalgaon,Pachora,
Maharashtra,Jalgaon,Parola,
Maharashtra,Jalgaon,Raver,
Maharashtra,Jalgaon,Yawal,
Maharashtra,Jalna,Ambad,
Maharashtra,Jalna,Badnapur,
Maharashtra,Jalna,Bhokardan,
Maharashtra,Jalna,Ghansawangi,
Maharashtra,Jalna,Jafrabad,
Maharashtra,Jalna,Jalna,
Maharashtra,Jalna,Mantha,
Maharashtra,Jalna,Partur,
Maharashtra,Kolhapur,Ajra,
Maharashtra,Kolhapur,Bavda,
Maharashtra,Kolhapur,Bhudargad,
Maharashtra,Kolhapur,Chandgad,
Maharashtra,Kolhapur,Gadhinglaj,
Maharashtra,Kolhapur,Hatkanangle,
Maharashtra,Kolhapur,Kagal,
Maharashtra,Kolhapur,Karvir,
Maharashtra,Kolhapur,Panhala,
Maharashtra,Kolhapur,Radhanagari,
Maharashtra,Kolhapur,Shahuwadi,
Maharashtra,Kolhapur,Shirol,
Maharashtra,Latur,Ahmadpur,
Maharashtra,Latur,Ausa,
Maharashtra,Latur,Chakur,
Maharashtra,Latur,Deoni,
Maharashtra,Latur,Jalkot,
Maharashtra,Latur,Latur,
Maharashtra,Latur,Nilanga,
Maharashtra,Latur,Renapur,
Maharashtra,Latur,Sirur Anantpal,
Maharashtra,Latur,Udgir,
Maharashtra,Latur,Udgir,
Maharashtra,Nagpur,Babulgaon,
Maharashtra,Nagpur,Bhiwapur,
Maharashtra,Nagpur,Hingna,
Maharashtra,Nagpur,Kalameshwar,
Maharashtra,Nagpur,Kamptee,
Maharashtra,Nagpur,Katol,
Maharashtra,Nagpur,Kuhi,
Maharashtra,Nagpur,Mauda,
Maharashtra,Nagpur,Nagpur,
Maharashtra,Nagpur,Narkhed,
Maharashtra,Nagpur,Parseoni,
Maharashtra,Nagpur,Ramtek,
Maharashtra,Nagpur,Savner,
Maharashtra,Nagpur,Umred,
Maharashtra,Nanded,Ardhapur,
Maharashtra,Nanded,Bhokar,
Maharashtra,Nanded,Biloli,
Maharashtra,Nanded,Deglur,
Maharashtra,Nanded,Dharmabad,
Maharashtra,Nanded,Hadgaon,
Maharashtra,Nanded,Himayatnagar,
Maharashtra,Nanded,Kandhar,
Maharashtra,Nanded,Kinwat,
Maharashtra,Nanded,Loha,
Maharashtra,Nanded,Mahur,
Maharashtra,Nanded,Mudkhed,
Maharashtra,Nanded,Mukhed,
Maharashtra,Nanded,Naigaon (Khairgaon),
Maharashtra,Nanded,Nanded,
Maharashtra,Nanded,Umri,
Maharashtra,Nandurbar,Akkalkuwa,
Maharashtra,Nandurbar,Akrani,
Maharashtra,Nandurbar,Nandurbar,
Maharashtra,Nandurbar,Nawapur,
Maharashtra,Nandurbar,Shahade,
Maharashtra,Nandurbar,Talode,
Maharashtra,Nashik,Baglan,
Maharashtra,Nashik,Chandvad,
Maharashtra,Nashik,Deola,
Maharashtra,Nashik,Dindori,
Maharashtra,Nashik,Igatpuri,
Maharashtra,Nashik,Kalwan,
Maharashtra,Nashik,Malegaon,
Maharashtra,Nashik,Nandgaon,
Maharashtra,Nashik,Nashik,
Maharashtra,Nashik,Niphad,
Maharashtra,Nashik,Peint,
Maharashtra,Nashik,Sinnar,
Maharashtra,Nashik,Surgana,
Maharashtra,Nashik,Trimbakeshwar,
Maharashtra,Nashik,Yevla,
Maharashtra,Osmanabad,Bhum,
Maharashtra,Osmanabad,Kalamb,
Maharashtra,Osmanabad,Lohara,
Maharashtra,Osmanabad,Osmanabad,
Maharashtra,Osmanabad,Paranda,
